"A6_bulk_NoDrug" "C10_bulk_NoDrug"
"RP11-135A24.4" 0.152265138066795 0
"RP11-6F2.3" 0.0761325690333973 0
"RP11-584P21.2" 0 0
"MXRA8" 9.51657112917466 7.32589781837723
"SULT1A2" 0.0761325690333973 0
"SNHG22" 0.228397707100192 0.147997935724793
"GTPBP8" 8.90751057690748 7.62189368982681
"SOX1" 0 0
"RP11-271F18.1" 0 0
"DDX5" 522.573953845239 551.588306446302
"RP4-620E11.5" 0 0
"RP11-284P20.3" 0 0
"C1QTNF1-AS1" 0 0
"C1orf137" 0 0.0739989678623963
"CTA-268H5.12" 0 0.0739989678623963
"U73166.2" 0.609060552267178 0.369994839311981
"PIP4K2C" 49.1816395955747 48.8393187891815
"TRAF3IP2-AS1" 6.31900322977198 4.21794116815659
"CTDSP1" 98.5916768982495 83.100840909471
"CTB-186G2.1" 0 0
"AC092170.1" 0.152265138066795 0.0739989678623963
"RP11-503C24.4" 0 0
"FAM86MP" 0 0
"IDO2" 0 0
"LINC00583" 0 0
"RP4-693M11.3" 0 0
"CYP26B1" 8.67911286980729 5.77191949326691
"MAP1LC3B" 48.9532418884745 37.7394736098221
"GRK4" 7.76552204140653 8.36188336845078
"CTD-3244O18.5" 0 0
"PRDX2P4" 4.72021928007063 3.47795148953262
"C14orf169" 0 0
"LINC00644" 0 0
"GAPDHP69" 0.685193121300576 0.813988646486359
"DCHS1" 2.36010964003532 1.55397832511032
"TCEB1P4" 0 0
"MSMP" 0 0
"CTD-2568P8.1" 0 0
"NTMT1" 37.6094891024983 61.1231474543393
"UBA6" 31.5188835798265 44.9913724603369
"AMD1P2" 0 0
"FAM89B" 2.96917019230249 2.88595974663345
"TMEM104" 82.1470419870357 95.5326675103536
"TMEFF2" 0 0
"STKLD1" 3.80662845166986 3.55195045739502
"AC092641.2" 0.83745825936737 0.739989678623963
"TCEB2P1" 0 0
"MTUS2" 0 0
"CTB-60B18.18" 0.152265138066795 0.0739989678623963
"PARVB" 242.558364940404 269.57823992271
"FGD4" 17.5866234467148 14.4297987331673
"SYNPO" 17.3582257396146 4.58793600746857
"SAMD11P1" 0.0761325690333973 0.0739989678623963
"ASF1A" 9.21204085304107 5.9939163968541
"RP11-90P16.1" 0 0
"DIRC1" 0 0
"LYPLA1P3" 7.46099176527294 8.43588233631317
"DPRXP1" 0.0761325690333973 0
"RP1-65P5.3" 0 0
"ZIC2" 17.2820931705812 14.8737925403416
"D21S2088E" 0 0
"RP11-559M23.1" 0 0
"ADO" 65.7024070758219 65.9330803653951
"RP11-346C20.4" 0.456795414200384 0.0739989678623963
"OAZ3" 0.913590828400768 1.25798245366074
"RP11-160E2.11" 0 0
"PSMA6P4" 0 0.0739989678623963
"ISCA1P6" 0 0
"RP3-467L1.6" 0.228397707100192 0.147997935724793
"F9" 0 0
"MCM5" 402.512892479572 436.075917613101
"RP11-10J21.6" 0 0
"RP11-61I13.3" 2.8930376232691 2.66396284304627
"MPZL3" 1.59878394970134 0.443993807174378
"REEP6" 72.5543382888276 75.3309492839194
"RP11-19J3.5" 0 0
"RP11-154H12.3" 0 0
"AC007040.11" 1.90331422583493 1.03598555007355
"RP11-864I4.3" 0 0.0739989678623963
"IGHVII-31-1" 0 0
"HSPB2" 0 0.0739989678623963
"RP11-20G6.2" 0 0
"STON1" 14.0845252711785 5.10592878250534
"KDM4D" 4.33955643490365 3.77394736098221
"OR10A7" 0 0
"THBS4" 1.52265138066795 1.18398348579834
"CASC19" 0 0
"FGF13-AS1" 0.0761325690333973 0
"CTD-2373J6.1" 0.0761325690333973 0.0739989678623963
"RP11-483E23.5" 0 0
"MORF4L1P6" 0 0
"RP11-352M15.1" 0 0
"BLZF1" 14.0845252711785 13.7638080224057
"NRBP2" 93.7191924801121 58.9771773863298
"RP11-252M21.6" 0 0
"RPS12P23" 0.0761325690333973 0.147997935724793
"FOLH1" 0 0
"SLC25A37" 74.3815199456292 72.4449895372859
"RP1-309K20.6" 0 0
"OR2AT2P" 0.304530276133589 0.369994839311981
"AC063976.2" 0 0
"NARF" 106.737861784823 131.052172084304
"CASC22" 0 0
"FRY" 9.74496883627485 6.28991226830368
"HMGB1P11" 0.0761325690333973 0
"CTD-2314G24.2" 0 0
"ANXA4" 78.949474087633 53.2792568609253
"TBCEL" 13.8561275640783 12.0618317615706
"RP11-789C17.1" 0.456795414200384 0.369994839311981
"AC062016.3" 0 0
"AL049758.2" 0.0761325690333973 0
"RP11-977G19.14" 0.0761325690333973 0.0739989678623963
"HOXD3" 1.97944679486833 1.40598038938553
"SLC25A35" 8.22231745560691 8.65787923990036
"RP11-13A1.3" 0 0
"ANKRD50" 44.5375528845374 39.6634467742444
"DLX5" 1.90331422583493 1.9239731644223
"AC079305.10" 0.152265138066795 0
"BOLA3P1" 0 0
"RP11-4O3.2" 0 0
"PHKB" 37.9140193786319 29.7475850806833
"AIDA" 4.87248441813743 5.8459184611293
"MURC" 0.456795414200384 1.03598555007355
"CLDN18" 0.304530276133589 0.517992775036774
"RP11-502M1.1" 0 0
"CTXN3" 0 0
"RP11-555K12.2" 0 0.0739989678623963
"TVP23A" 0.761325690333973 0.739989678623963
"GAPDHP49" 0 0
"RP11-96L7.2" 0 0
"RPL7P13" 0.0761325690333973 0
"SYDE1" 86.6388635600061 90.944731502885
"IGHV2-70" 0 0
"CDPF1" 17.2059606015478 15.0217904760664
"ABCD1P3" 0 0
"RP11-871F6.3" 0 0
"DNAJC6" 0.456795414200384 0.443993807174378
"RP11-606D9.1" 0 0
"PBX3" 10.8108248027424 11.0998451793594
"KIAA0141" 67.7579864397236 46.9153456247592
"GLRX" 11.87668076921 16.05777602614
"RP11-337N6.1" 0.0761325690333973 0
"RP11-93B21.1" 0 0
"MTCO1P19" 0 0
"DCDC1" 0.0761325690333973 0
